doc,mat,cuat,tstamp,asistencia,cumple_horarios,buen_trato,clase_organizada,claridad,fomenta_participacion,panorama_amplio,acepta_critica,responde_mails,comentarios
Costa,8714,2Q2022,1678390251748,5,5,3,4,3,3,5,3,5,U2Ugbm90YSBxdWUgc2FiZSB1biBtb250w7NuIGRlIGxhIG1hdGVyaWEgcGVybyBwZXJzb25hbG1lbnRlIG5vIG1lIGd1c3TDsyBtdWNobywgdmEgbXV5IHLDoXBpZG8geSBzZSBvbHZpZGEgcXVlIG5vc290cm9zIHZlbW9zIHVuIHRlbWEgbnVldm8gY2FkYSBjbGFzZSB5IG5vIGVzIG11eSBidWVuYSBvbmRhIHF1ZSBkaWdhbW9zLiBJZ3VhbG1lbnRlIGVzIGJhc3RhbnRlIGNsYXJvIHkgZXhwbGljYSBhY29yZGUgYSBsbyBxdWUgdG9tYW4uIENvbnRlc3RhIGR1ZGFzIHRhbnRvIHByZXNlbmNpYWwgY29tbyBwb3IgbWFpbCBzaW4gcHJvYmxlbWEu
Rickert,7144,2Q2022,1678416055321,4,4,4,4,4,4,4,4,4,Q3Vyc2FkYSBtaXh0YSA1MCB2aXJ0dWFsIDUwIHByZXNlbmNpYWwuDQpUb21hbiBsaXN0YSB5IHBvZMOpcyBxdWVkYXIgbGlicmUgc2kgdGVuZXMgbXVjaGFzIGZhbHRhcy4gTm8gbGVzIGd1c3RhbiBsYXMgbGxlZ2FkYXMgdGFyZGUgeSB0YW1wb2NvIHF1ZSBubyBwcmVuZGFzIGNhbWFyYSBlbiBsYXMgdmlydHVhbGVzLg0KRGVmaW5lbiBsYSBub3RhIGRlIGN1cnNhZGEgc2VndW4gbGEgcGFydGljaXBhY2nDs24gZW4gY2xhc2UsIGF1bnF1ZSBjb24gcGFydGljaXBhciBtb2RlcmFkYW1lbnRlIGFsZ3VuYXMgY2xhc2VzIHRlIHBvbmVuIGJ1ZW5hIG5vdGEuDQpObyBoYXkgcGFyY2lhbCwgaGF5IHVuIHRwIGdydXBhbCBjb24gZXRhcGFzIGRlIGEgMTAgcGVyc29uYXMgKGVsZWdpZGFzIGFsIGF6YXIgcG9yIGVsbG9zKS4gQ2FkYSBkb3Mgc2VtYW5hcyBhZ3JlZ2FuIGVsIGVudW5jaWFkbyBkZSBsYSBzaWd1aWVudGUgZXRhcGEgcGFyYSBlbnRyZWdhciBsYSBjbGFzZSBzaWd1aWVudGUuIFNvbiBzZW5jaWxsb3MsIHNhbGVuIGVuIG1lZGlhIGhvcmEuIExvcyB0ZW1hcyBubyBzb24gZGlmaWNpbGVzLCBwZXJvIGxhIG1hdGVyaWEgdGllbmUgYmFzdGFudGUgY29udGVuaWRvIHkgZW4gZWwgZmluYWwgdHJhdGFuIGRlIGV2YWx1YXIgdG9kby4NCkVsIGZpbmFsIGR1cmEgdW5hIGhvcmEgeSBjb25zaXN0ZSBlbiBwcmVndW50YXMgZGUgdW4gY2FzbyBkZSBhcGxpY2FjacOzbiAoMTIgcHJlZ3VudGFzIGFwcm94KSwgbm8gbGVzIGludGVyZXNhIHF1ZSBleHBsaXF1ZXMgbGEgdGVvcmlhIHNpbm8gcXVlIGFwbGlxdWVzIGxvcyBjb25jZXB0b3Mu
Dominguez,7144,2Q2022,1678416055322,3,3,3,3,3,3,3,3,3,
Turco Greco,7144,2Q2022,1678416055322,3,3,3,3,3,3,3,3,3,
Sabino,7144,2Q2022,1678416055323,3,3,3,3,3,3,3,3,3,
Klein,7144,2Q2022,1678416055324,3,3,3,3,3,3,3,3,3,
Ciocci,6203,2Q2022,1678459632316,5,5,5,5,5,5,5,5,2,TXV5IGJ1ZW5hIHByb2Zlc29yYSwgc3VwZXIgcmVjb21lbmRhYmxlLiBUZSBkZWphIGxvcyBwZGZzIGRlIGxhcyBjbGFzZXMgeSBoYWNlIGV4cGVyaW1lbnRvcyBxdWUgbW90aXZhbiBkZSBsbyBxdWUgdmEgZW5zZcOxYW5kby4gTm8gdGllbmUgcHJvYmxlbWEgZW4gZXhwbGljYXIgZG9zIHZlY2VzIHkgc2UgcHJlb2N1cGEgcG9yIHF1ZSBhcHJlbmRhcyB5IGp1c3RpZmlxdWVzIGJpZW4gbG9zIHBhcmNpYWxlcy4NCkFudGVzIGRlbCBwYXJjaWFsIHZlbmlhIDEgaG9yYSBhbnRlcyBhIGhhY2VyIHJlcGFzbywgb3BjaW9uYWwgb2J2aW8uIERlc3B1w6lzIHNlZ3XDrWEgY29uIGxhIGNsYXNlIG5vcm1hbCBkZSBmb3JtYSBzdXBlciBwdW50dWFsLg==
Binda,6203,2Q2022,1678459632317,5,5,5,5,5,5,5,5,3,TXV5IGJ1ZW4gcHJvZmVzb3IsIGhhY2lhIGxvcyBlamVyY2ljaW9zIGRlIGxhIGd1w61hIG1hcyBjb21wbGljYWRvcyBvIGxvcyBxdWUgc2VydsOtYW4gZGUgaW50cm9kdWNjacOzbi4gdGFtYmnDqW4gaGFjaWEgZWplcmNpY2lvcyBkZSBwYXJjaWFsIGVzcG9yw6FkaWNhbWVudGUuIEhhY2UgdW4gcmVwYXNvIGdlbmVyYWwgZGUgbGEgdGVvcsOtYSBhbnRlcyBkZSBsYSBjbGFzZSBwcmFjdGljYSB5IGFuaW1hIGEgbG9zIGFsdW1ub3MgYSBwYXJ0aWNpcGFyLCBtdXkgcmVjb21lbmRhYmxlLg==
Galloso,6203,2Q2022,1678459632320,5,5,5,4,3,3,4,5,3,YmFzdGFudGUgYnVlbmEgaGFjaWEgZWplcmNpY2lvcyBlbiBsYSBjbGFzZSBwcmFjdGljYS4=
Podberezski,7529,2Q2022,1678477001543,5,5,5,4,5,5,5,5,4,
Fasoli,6313,2Q2022,1678538719138,5,5,5,5,4,5,5,5,4,RXhjZWxlbnRlIHByb2Zlc29yLiBTYWJlIG11Y2jDrXNpbW8gZGUgbGEgbWF0ZXJpYSB5IHNlIG5vdGEgcXVlIHF1aWVyZSBxdWUgbG9zIGFsdW1ub3MgZW50aWVuZGFuIGJpZW4geSBhcHJ1ZWJlbi4gQSB2ZWNlcyBjYXBheiBzZSBlbnJvc2NhIHVuIHBvY28gZW4gbG8gcXVlIGV4cGxpY2EgcGVybyBzdWVsZSBsbGV2YXIgY29zYXMgY29tbyBmb3RvcywgZXN0cnVjdHVyYXMgM0QsIGV0YyBwYXJhIHF1ZSBzZSBlbnRpZW5kYSBtZWpvci4gQWRlbcOhcyBtZSBwYXJlY2nDsyBtdXkgYnVlbmEgcGVyc29uYSB5IGxhcyBjbGFzZXMgbGFzIGhhY2UgbXV5IGRpbsOhbWljYXMgeSBsbGV2YWRlcmFzLiA=
Romero,6313,2Q2022,1678538719139,3,3,4,2,4,4,5,4,3,
Debandi,6313,2Q2022,1678538719139,5,5,5,5,4,5,5,5,4,TXV5IGJ1ZW5hIHByb2Zlc29yYSwgc2Ugbm90YSBxdWUgc2FiZSBtdWNobyB5IGFkZW3DoXMgZXMgdW5hIHByb2Zlc29yYSBxdWUgcXVpZXJlIHF1ZSBsb3MgYWx1bW5vcyBlbnRpZW5kYW4geSBhcHJ1ZWJlbiBsYSBtYXRlcmlhLiBBIHZlY2VzIHZhIHVuIHBvY28gcsOhcGlkbyBwZXJvIG5vIHRpZW5lIHByb2JsZW1hIGVuIGZyZW5hciBvIGlyIG3DoXMgZGVzcGFjaW8gc2kgbGUgZGljZW4u
Compte Alvaredo,6313,2Q2022,1678538719140,3,4,5,4,3,4,4,4,3,
Compte Alvaredo,6313,2Q2022,1678538719140,3,4,5,4,3,4,4,4,3,
Suarez,7507,2Q2022,1678543980024,2,3,4,3,4,4,3,3,1,QnVlbiBwcm9mZXNvciBwZXJvIGFzaXN0ZSBhIHBvY2FzIGNsYXNlcyB5IG5vIHBhcnRpY2lwYSBtdWNobyBlbiBsYSBjYXRlZHJhIGVuIGdlbmVyYWwu
Sanchez,7507,2Q2022,1678543980024,5,5,3,1,2,3,2,2,3,R2VuZXJhbG1lbnRlIGRhIGxhcyBjbGFzZXMgY29uIG11eSBwb2NhIGVuZXJnw61hLCBzdWVsZW4gbm8gZXN0YXIgcHJlcGFyYWRhcyBwcmV2aWFtZW50ZSB5IHNlIGltcHJvdmlzYSBtdWNobyBlbiBlbCBsdWdhciwgcG9jYXMgdmVjZXMgc2UgZW50aWVuZGVuIGxhcyBleHBsaWNhY2lvbmVzIHkgZ2VuZXJhbG1lbnRlIG5vIGFwb3J0YW4gbXVjaG8u
Rodriguez Massuh,7507,2Q2022,1678543980024,5,5,3,3,3,2,3,1,2,RGEgbGFzIGNsYXNlcyBjb24gbWFzIGVudHVzaWFzbW8geSBsZSBwb25lIG1hcyBvbmRhIHBlcm8gYSB2ZWNlcyBubyBzb24gbXV5IGNsYXJhcyAobXV5IGdlbmVyYWxlcykuIG5vIHBvZGVzIGFwb3J0YXIgbmFkYSBwb3JxdWUgdGUgcGFzYSBwb3IgZW5jaW1hIHkgcGFyZWNlIGRlc2ludGVyZXNhZG8gZW4gYXl1ZGFyIGEgbG9zIGFsdW1ub3MgZW4gZ2VuZXJhbC4=
Lopez Rivarola,8405,2Q2022,1678651259615,5,5,5,5,4,4,4,4,4,
Altieri,8405,2Q2022,1678651259616,5,4,5,5,5,5,5,5,5,TXV5IGJ1ZW4gcHJvZmVzb3IsIGNhZSBhIGxhIGNsYXNlIGNvbiBwb3dlcnBvaW50cyBiaWVuIGhlY2hvcyBjb24gZWplcmNpY2lvcyByZXN1ZWx0b3MgeSBsYSB0ZW9yaWNhIHJlc3VtaWRhIHBhcmEgcXVlIG5vIGVzdGVzIGVuIGN1YWxxdWllcmENCg==
Maulhardt,6103,2Q2022,1678721103870,5,5,5,5,5,4,4,5,5,RXhjZWxlbnRlIHByb2Zlc29yLiBTdXMgZXhwbGljYWNpb25lcyBzb24gcmVhbG1lbnRlIG11eSBjbGFyYXMsIGZvbWVudGFuZG8gbGEgcGFydGljaXBhY2nDs24geSBzaWVuZG8gbXV5IHByb2xpam8gYWwgcHJlc2VudGFyIGxvcyB0ZW1hcy4gVmEgYWwgZ3Jhbm8sIHBhcmEgbG8gcXVlIHNlIGV4aWdlIGVuIGVsIHBhcmNpYWwvZmluYWwsIHBvciBsbyBxdWUgZXMgdW4gbXV5IGJ1ZW4gY3Vyc28gc2kgdHUgaW50ZW5jacOzbiBlcyB0ZW5lciB1biBidWVuIGNvbm9jaW1pZW50byBkZSBsb3MgdGVtYXMgZXNlbmNpYWxlcyBkZSBsYSBtYXRlcmlhLiDDiWwgcmVhbGl6YSBsb3MgdmlkZW9zIHF1ZSBwcm9wb3JjaW9uYSBsYSBjYXRlZHJhLCBwb3IgbG8gcXVlLCBzaSBlbiBhbGfDum4gY2FzbyBkZWJpZXJhcyBhdXNlbnRhcnRlIGEgYWxndW5hIGNsYXNlLCB0cmFucXVpbGFtZW50ZSBwb2RlcyBtaXJhciBsb3MgdmlkZW9zIHRlw7NyaWNvcywgeSBzZWd1aXIgYmllbiBsYSBtYXRlcmlhLiBDdW1wbGUgcGVyZmVjdGFtZW50ZSBjb24gbG9zIHRlbWFzLCB5IHNpIGZ1ZXJhIG5lY2VzYXJpbywgcmVhbGl6YSB1bmEgY2xhc2UgZG9ibGUgZGUgM2hzIGFwcm94LiBwYXJhIGN1bXBsaXIgYmllbiBjb24gbG9zIHRpZW1wb3MgeSB0ZW5lciAxIHNlbWFuYSBwcmV2aWEgZGUgcmVwYXNvIGFudGVzIGRlbCBwYXJjaWFsL2ZpbmFsLiBFbiBzw61udGVzaXMsIG11eSByZWNvbWVuZGFkbywgbcOhcyB0b2RhdsOtYSBwYXJhIGxvcyBwcmltZXJvcyBjdWF0cmltZXN0cmVzLg==
Puebla,6103,2Q2022,1678721103870,3,4,4,3,3,4,3,3,3,
Rizzo,6103,2Q2022,1678721103871,3,4,4,3,3,4,3,4,3,
Blazquez,6103,2Q2022,1678721103871,3,4,4,3,3,4,3,4,3,
Blazquez,6103,2Q2022,1678721103871,3,4,4,3,3,4,3,4,3,
Juarez,7541,2Q2022,1678723349627,5,5,5,4,5,5,5,5,3,
Acosta,6201,2Q2022,1678728244237,5,4,4,4,3,3,4,3,4,QnVlbiBwcm9mZXNvciBlbiBsw61uZWFzIGdlbmVyYWxlcywgc2FiZSBtdWNobyBkZSBsYSBtYXRlcmlhIHkgdGllbmUgb2ZpY2lvIGNvbW8gZG9jZW50ZS4NCk5vIGxvIHJlY29taWVuZG8gcGFyYSBpbmdyZXNhbnRlcyB5L28gZ2VudGUgcXVlIGhhZ2EgbGEgbWF0ZXJpYSBwb3IgcHJpbWVyYSB2ZXo6IGVzIG11eSBkZW5zbywgdmEgbXV5IHLDoXBpZG8geSBoYWNlIG11Y2hvIMOpbmZhc2lzIGVuIGxhIHBhcnRlIG1hdGVtw6F0aWNhIHkgZGUgbGFzIGRlbW9zdHJhY2lvbmVzL2RlZHVjY2lvbmVzLiBQb3IgbW9tZW50b3MgZXMgZGlmw61jaWwgc2VndWlybGUgZWwgcml0bW8sIGluY2x1c28gZW4gbG9zIHRlbWFzIG3DoXMgc2VuY2lsbG9zLiBJZ3VhbCBjb250ZXN0YSBkdWRhcyB5IHByZWd1bnRhcyBzaW4gcHJvYmxlbWFzIHkgcmVzcGV0dW9zYW1lbnRlLg0KUmVjb21lbmRhZG8gcGFyYSByZWN1cnNhbnRlcyB5L28gZ2VudGUgcXVlIHRlbmdhIHVuYSBpZGVhIHJlbGF0aXZhbWVudGUgY29uc29saWRhZGEgZGUgbGEgbWF0ZXJpYS4=
Corach,6201,2Q2022,1678728244238,5,4,2,2,1,2,3,3,4,U2FiZSBtdWNobyBkZSBmw61zaWNhIHBlcm8gZXMgZGVzb3JnYW5pemFkbyB5IG5vIGV4cGxpY2EgbXV5IGJpZW4uIEFsIGlndWFsIHF1ZSBBY29zdGEsIHNvbG8gcmVjb21pZW5kbyBsYSBjdXJzYWRhIGNvbiBDb3JhY2ggKHkgaGFzdGEgYWjDrSkgc2kgc29zIHJlY3Vyc2FudGUgbyBsYSB0ZW7DqXMgbcOhcyBvIG1lbm9zIGNsYXJhIGNvbiBsYSBtYXRlcmlhLiANClNpZW1wcmUgcGFyZWNlIHF1ZSBsZSBtb2xlc3RhcmEgZGFyIGNsYXNlLCBhIHZlY2VzIGludGltaWRhIHBvciBjw7NtbyBkaWNlIGxhcyBjb3NhcyBlIGluaGliZSBhIHByZWd1bnRhciBkdWRhcyBhdW5xdWUgZW4gbGFzIGNsYXNlcyBwcsOhY3RpY2FzIHRpZW5lIG11eSBidWVuYSBwcmVkaXNwb3NpY2nDs24gcGFyYSByZXNwb25kZXIgY3VhbHF1aWVyIGNvbnN1bHRhLiBFcyBiYXN0YW50ZSBkZXNwcm9saWpvIHkgcG9jbyBjbGFybyBjdWFuZG8gZXNjcmliZSBlbiBlbCBwaXphcnLDs24uDQpFcyBkZW5zbyBjb21vIEFjb3N0YSBwZXJvIGxlIGludGVyZXNhIHF1ZSBhcHJlbmRhcyBsYSBtYXRlcmlhLCBsb3MgcGFyY2lhbGVzIHNvbiBhY2Nlc2libGVzIHkgc2kgUkVBTE1FTlRFIGxlIGRlbW9zdHLDoXMgcXVlIHNhYsOpcywgdGUgZGEgdG9kYXMgbGFzIGNoYW5jZXMgcXVlIHB1ZWRhIHBhcmEgYXByb2Jhci4=
Morinigo Ferreira,6201,2Q2022,1678728244239,4,4,5,4,5,5,3,3,3,TXV5IGJ1ZW5hIG9uZGEgeSBzYWJlIG11Y2jDrXNpbW8gZGUgZsOtc2ljYSwgYWJpZXJ0byBhIGNvbnRlc3RhciBjdWFscXVpZXIgZHVkYSB5IGV4cGxpY2FyIHRvZG8gY3VhbnRhcyB2ZWNlcyBzZWEgbmVjZXNhcmlvIHBhcmEgcXVlIGxvIGVudGllbmRhcy4gTXV5IGNvcGFkbywgZ2VuZXJhIGJ1ZW5hcyByZWxhY2lvbmVzIGNvbiBsb3MgYWx1bW5vcyB5IGV4cGxpY2EgaW5jcmXDrWJsZW1lbnRlIGJpZW4uIFPDunBlciByZWNvbWVuZGFkby4=
Sola,6103,2Q2022,1678729301369,5,4,5,4,4,2,3,4,2,TXV5IGJ1ZW4gcHJvZmVzb3IsIGJ1ZW5hIG9uZGEgeSBjb250ZXN0YSBjdWFscXVpZXIgZHVkYSBzaW4gbW9sZXN0YXJzZS4gRXhwbGljYSBjb24gY2xhcmlkYWQgYXVucXVlIHN1cyBjbGFzZXMgc29uIG1lZGlvIGFidXJyaWRhcyBvIG1vbsOzdG9uYXMgcG9ycXVlIGLDoXNpY2FtZW50ZSBjb3BpYSBsbyBxdWUgZGEgZW4gY2FkYSBjbGFzZSBkZSB1biBwYXBlbCB5IGxvIHJlcGl0ZSBzaW4gbcOhcy4gTG9zIGVqZXJjaWNpb3MgcXVlIGV4cGxpY2EgZXN0w6FuIG11eSBiaWVuIHkgc2UgZW50aWVuZGVuIHBlcmZlY3RvLiBObyBlcyB0YW4gZXhpZ2VudGUgY3VhbmRvIGNvcnJpZ2UuIFJlY29taWVuZG8gdGFudG8gcGFyYSBpbmdyZXNhbnRlcyBjb21vIHBhcmEgcmVjdXJzYW50ZXMu
Piñera,6103,2Q2022,1678729301370,3,4,5,4,3,3,2,4,3,TXV5IGNvcGFkbyBhdW5xdWUgbXVjaGFzIHZlY2VzIHNlIHF1aWVyZSBoYWNlciBlbCBncmFjaW9zbyBwb3IgZGVtw6FzIHkgeWEgY2Fuc2EuIEVzIG1lZGlvIGVucXVpbG9tYmFkbyBwYXJhIGV4cGxpY2FyIGVqZXJjaWNpb3MsIHRhcmRhIG1pbCBhw7FvcyB5IG11Y2hhcyB2ZWNlcyBzZSBzYWx0ZWEgcGFzb3MsIHBvciBsbyBxdWUgZXMgZGlmw61jaWwgc2VndWlybGUgZWwgcml0bW8gYXVucXVlIGVzIGJhc3RhbnRlIGNsYXJvIGRlbnRybyBkZSBsbyBxdWUgY2FiZS4gU29uIHVuIGVtYm9sZSBzdXMgY2xhc2VzIHkgbm8gZm9tZW50YSBuYWRhIGxhIHBhcnRpY2lwYWNpw7NuOyBzZSBsbGV2YSB1bmFzIGhvamFzIGNvbiBlamVyY2ljaW9zIHkgYsOhc2ljYW1lbnRlIGxvcyBoYWNlIHBhcmEgc8OtIG1pc21vLiBFbiBlc2FzIGRvcyBob3JhcyBkZSBwcsOhY3RpY2EgcHVlZGVuIGF2YW56YXIgbXVjaG8gbcOhcyB1c3RlZGVzIHNvbG9zIGFudGVzIHF1ZSBlc3RhciBzZW50YWRvIG1pcmFuZG8gbG8gcXVlIGhhY2Uu
Herme,8302,2Q2022,1678737469856,5,5,5,2,3,2,3,4,2,
Vargas,8302,2Q2022,1678737469856,5,3,1,1,1,1,2,1,4,
Little,8302,2Q2022,1678737469857,2,4,4,3,3,2,3,4,1,
Little,8302,2Q2022,1678737469857,3,3,3,2,3,2,2,4,1,
Gil,9103,2Q2022,1678769819952,5,5,4,3,3,3,3,4,1,U3VzIGNsYXNlcyBzb24gYWxnbyBwZXNhZGFzLCB5IG11Y2hvcyBlamVyY2ljaW9zIGxvcyByZXN1ZWx2ZSBhIG1lZGlhcywgcGVyc29uYWxtZW50ZSBubyBtZSBndXN0w7MgbXVjaG8=
Cosatto Ammann,9103,2Q2022,1678769819955,5,4,5,5,5,5,5,5,4,TG8gcmVjb21pZW5kbywgbXV5IGJ1ZW5hIG9uZGEgeSBjbGFybw==
Vera,8302,2Q2022,1678769980315,5,5,5,5,5,3,5,4,4,
Torcasso,8302,2Q2022,1678769980317,5,5,4,4,4,4,5,3,4,QnVlbmEgcHJvZmVzb3JhLCBhIHZlY2VzIHJlc3BvbmRlIG1hbCwgcGVybyBudW5jYSBjb24gbWFsYSBpbnRlbmNpb24=
Merlo,8302,2Q2022,1678769980318,5,5,5,5,5,5,5,5,5,TXV5IGJpZW4gcHJvZmVzb3IsIHRvZG8gY2xhcsOtc2ltbyB5IGNvcmRpYWw=
Silveyra,6203,2Q2022,1678770063844,5,5,5,5,5,3,5,5,5,QnVlbmEgcHJvZmVzb3JhLCB2YSBtdXkgcsOhcGlkbyB5IGVzIGRpZsOtY2lsIHNlZ3VpcmxlIGVsIHJpdG1vIHPDrW50b21hcyBhcHVudGVzLCByZWNvbWllbmRvIHRlbmVyIHN1cyBwZGYncyBpbXByZXNvcw==
Presa,6203,2Q2022,1678770063846,5,4,5,5,5,5,5,4,4,
Ureña,6301,2Q2022,1678916291515,5,5,5,5,5,5,5,5,5,w5puaWNhbWVudGUgZXhwbGljYSB0ZXJtb2RpbsOhbWljYSB5IHRlcm1vcXXDrW1pY2EsIGVsIHJlc3RvIGRlIGxvcyB0ZW1hcyBsb3MgZXhwbGljYSBSb21lcm8uDQpTZSBsZSBlbnRpZW5kZSBwZXJmZWN0bywgZXMgbXV5IGNsYXJhLg0KQ29uc2VqbyBwYXJhIHF1aWVuZXMgbGEgY3Vyc2VuIHBvciBwcmltZXJhIHZleiBxdWU6IGjDoWdhbmxlIGNhc28gY3VhbmRvIGRpY2UgcXVlIGVzIHVuYSBtYXRlcmlhIHF1ZSBoYXkgcXVlIHRlbmVyIHPDrSBvIHPDrSBhbCBkw61hLCBzdXMgdGVtYXMgc29uIHNlbmNpbGxvcyBwZXJvIGhheSBxdWUgZGVkaWNhcmxlcyB0aWVtcG8uIEEgbcOtIG1lIGNvc3TDsyBsYSBtYXRlcmlhIHkgbGEgdHV2ZSBxdWUgcmVjdXJzYXIuIA0KU2kgdGllbmVuIGxhIHBvc2liaWxpZGFkLCBjb21pZW5jZW4gYWRlbGFudGFuZG8gdGXDs3JpY2FzIHBvciBzdSBjdWVudGEsIGxlcyB2YSBhIGFob3JyYXIgZGVtYXNpYWRvIHRpZW1wby4gRXN0YSBtYXRlcmlhIGVzIG11eSBhdXRvZGlkYWN0YSwgbGFzIGNsYXNlcyBzb24gbcOhcyBxdWUgbmFkYSBwYXJhIGRlc3BlamFyIGR1ZGFzIHkgbG9zIHRlbWFzIHNlIGV4cGxpY2FuIHBvciBhcnJpYmEgcG9yIGxhIGZhbHRhIGRlIHRpZW1wby4=
Tancredi Gentili,6301,2Q2022,1678916291515,5,5,5,5,5,5,5,5,5,RGEgbGFzIHByw6FjdGljYXMgZGUgVXJlw7FhLCBlcyBtdXkgY2xhcm8gYSBsYSBob3JhIGRlIGV4cGxpY2FyLg==
Romero,6301,2Q2022,1678916291515,5,5,5,5,5,5,5,5,5,RXhwbGljYSB0b2RvcyBsb3MgdGVtYXMgKGV4Y2VwdG8gdGVybW9kaW7DoW1pY2EpIGVuIGVsIGN1cnNvIGRlIFVyZcOxYS4NCkVzIG11eSBjbGFyYSBhIGxhIGhvcmEgZGUgZXhwbGljYXIu
Fuchs,6601,2Q2022,1678931434744,5,5,5,5,5,5,5,5,5,
Musso Rodriguez,6601,2Q2022,1678931434744,5,5,5,5,5,5,5,5,5,
Peña,6601,2Q2022,1678931434745,5,5,5,5,5,5,5,5,5,
Essaya,9514,2Q2022,1678998947557,5,5,5,5,5,5,5,5,5,
Kristal,9514,2Q2022,1678998947557,5,5,5,5,5,5,5,5,5,
Maulhardt,6103,2Q2022,1679340932317,5,5,5,5,5,5,5,5,4,
Pampillo,6203,2Q2022,1679514045734,5,5,5,5,5,5,5,5,5,U2VndcOtIGVsIGNvbWVudGFyaW8gcXVlIGRlY8OtYSBxdWUgUGFtcGkgeSBzdXMgY2xhc2VzIHRlIHNhY2FiYW4gZGUgbGEgZGVwcmVzacOzbiB5IGZ1ZSBsYSBtZWpvciBkZWNpc2nDs24gZGUgbWkgdmlkYTonRCBQYW1waSBlcyBsYSBNRUpPUiBQUk9GRVNPUkEgREUgVE9ETyBGSVVCQS4gRsOtc2ljYSAyIGVzIHVuYSBtYXRlcmlhIGRlIG11Y2hvIGNvbnRlbmlkbyBwZXJvIGNvbiBlbGxhIFRPRE8gc2UgZW50aWVuZGUgY29uIGNsYXJpZGFkLCB0ZSBleHBsaWNhIGxvcyB0ZW1hcyBjb24gZWwgbWVqb3IgYW5pbW8sIGxhcyBjbGFzZXMgc29uIG11eSBkaXZlcnRpZGFzIHkgZGEgbG9zIG1lam9yZXMgZWplbXBsb3MgcGFyYSBxdWUgcXVlZGUgY2xhcm8uIEFkZW3DoXMgc2llbXByZSBzdXMgY2xhc2VzIHNvbiBjb24gbXVjaGEgaW50ZXJhY2Npw7NuIGNvbiBsb3MgYWx1bW5vcywgc2kgbm8gZW50aWVuZGVzIGFsZ28gbGUgcHJlZ3VudGFzIHkgdGUgcmVzcG9uZGUgaGFzdGEgcXVlIGVudGllbmRhcy4gU2kgdGllbmVzIGxhIG9wb3J0dW5pZGFkIGRlIGxsZXZhcmxvIGNvbiBlbGxhIE5PIExPIERVREVTLCBQQU1QSSBFUyBMQSBNRUpPUiBPUENJT04gPDM=
Presa,6203,2Q2022,1679514045735,5,5,5,5,5,5,5,5,5,
Corsini,6201,2Q2022,1680197930254,5,5,4,4,3,5,4,3,4,
Corach,6201,2Q2022,1680197930254,2,2,1,1,1,1,1,1,1,U2UgaGFjZSBlbCBiYW5hbmEgeSBleHBsaWNhIG11eSBtYWwuIFNlIGVxdWl2b2NhIHkgbGUgaGVjaGEgbGEgY3VscGEgYSBsb3MgYWx1bW5vcy4gUG9yIGZhdm9yIGPDoW1iaWVuc2Ugc2kgbGVzIHRvY2EgY29uIGVsLg==
Nuñez,6201,2Q2022,1680197930255,4,4,4,4,4,3,3,4,2,
Roux,6201,2Q2022,1680197930256,3,4,5,3,3,3,4,4,3,
Badia,6201,2Q2022,1680197930256,4,3,4,2,4,3,5,4,3,
Badia,6201,2Q2022,1680197930257,5,4,2,4,4,3,4,3,3,
Corsini,6201,2Q2022,1680280521044,5,5,4,4,4,4,4,4,4,
Corach,6201,2Q2022,1680280521048,2,2,1,1,1,1,1,1,3,RXMgdW4gcGFuY2hvIGJhcmJhcm8sIHNlIGxhIGRhIGRlIHBpb2xhIHkgc2llbXByZSBjcml0aWNhIGEgbG9zIGFsdW1ub3MuIENvbW8gZXMgZXZpZGVudGUsIHNhYmUgbWFzIHF1ZSBsb3MgYWx1bW5vcyB5IHNpZW1wcmUgc2UgYWdhcnJhIGRlIGVzbyBwYXJhIGhhY2VybG9zIHF1ZWRhciBjb21vIGJvbHVkb3Mu
Nuñez,6201,2Q2022,1680280521050,4,4,4,4,4,4,4,4,4,
Roux,6201,2Q2022,1680280521051,5,5,5,4,4,4,4,5,3,
Badia,6201,2Q2022,1680280521053,4,4,4,4,4,4,4,4,3,
Badia,6201,2Q2022,1680280521054,4,4,4,4,4,4,4,4,4,
Agosta,8809,2Q2022,1680380112404,4,4,2,3,3,4,3,2,2,
Papazian,8809,2Q2022,1680380112405,3,4,4,2,3,4,3,3,1,
Papazian,8809,1Q2022,1680385658573,4,4,2,3,2,3,2,2,4,
Rodriguez,7512,2Q2022,1681240949955,4,4,1,1,1,3,3,1,3,Tm8gcmVjb21lbmRhYmxlIGVuIGFic29sdXRvLCBubyB0ZSBleHBsaWNhIHF1ZSBoaWNpc3RlIG1hbCBlbiBlbCB0cCB5IHRlIG1hbmRhIGRpcmVjdG8gYSByZWN1LiBMYXMgY2xhc2VzIG5vIHNlIGVudGllbmRlbiBuYWRhLCBsZWUgdW4gcG93ZXIgcG9pbnQgdG9kYSBsYSBjbGFzZSA=
Machiunas,7512,2Q2022,1681240949956,4,4,4,4,3,3,3,3,3,
Corsini,6201,2Q2022,1681296517461,4,4,4,4,4,4,4,4,4,
Corach,6201,2Q2022,1681296517463,2,1,1,1,1,1,1,1,1,TWV6Y2xhIGZpc2ljYSBjb24gcG9saXRpY2EsIGFkZW1hcyBkZSBoYWNlciBjb21lbnRhcmlvcyBkZXNwZWN0aXZvcyBoYWNpYSBsb3MgYWx1bW5vcw==
Nuñez,6201,2Q2022,1681296517463,4,4,4,4,4,4,4,4,4,
